"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group C","bachelor's degree","standard","completed","58","69","71"
"male","group D","high school","standard","completed","93","83","89"
"male","group B","some college","standard","completed","76","68","72"
"female","group D","some college","free/reduced","none","60","68","68"
"male","group C","some college","free/reduced","none","70","68","66"
"male","group D","high school","standard","none","78","76","69"
"female","group C","bachelor's degree","standard","completed","67","83","86"
"male","group C","high school","free/reduced","completed","59","51","56"
"male","group C","high school","standard","none","60","50","46"
"male","group B","some high school","free/reduced","completed","71","60","69"
"female","group E","associate's degree","free/reduced","completed","51","58","65"
"female","group C","bachelor's degree","standard","completed","86","88","90"
"female","group C","some high school","free/reduced","none","47","66","59"
"male","group D","associate's degree","standard","completed","100","96","98"
"female","group C","associate's degree","free/reduced","completed","50","55","65"
"female","group E","some college","standard","completed","80","84","91"
"female","group D","some college","free/reduced","none","69","72","74"
"male","group B","some college","standard","none","70","69","58"
"male","group E","some college","standard","none","75","69","60"
"male","group B","some high school","standard","none","57","57","53"
"female","group C","some high school","free/reduced","completed","63","64","63"
"female","group D","master's degree","standard","none","79","76","76"
"female","group B","master's degree","standard","none","46","62","58"
"male","group D","associate's degree","standard","none","46","45","44"
"male","group D","associate's degree","standard","none","66","60","60"
"female","group B","some college","standard","completed","91","100","100"
"male","group C","associate's degree","standard","none","63","49","52"
"female","group B","some college","free/reduced","none","66","73","68"
"female","group D","some college","standard","completed","64","78","83"
"female","group C","some high school","standard","none","70","73","71"
"male","group E","associate's degree","free/reduced","none","78","75","75"
"male","group E","some college","standard","none","87","67","69"
"male","group B","some high school","standard","completed","75","77","76"
"female","group D","some college","standard","none","58","58","56"
"female","group D","high school","standard","completed","80","89","96"
"male","group B","master's degree","standard","completed","63","65","70"
"male","group D","some college","standard","completed","100","100","100"
"female","group C","some high school","free/reduced","completed","70","82","84"
"female","group D","some high school","standard","none","53","68","63"
"female","group C","high school","standard","none","54","65","60"
"male","group C","associate's degree","standard","none","81","76","80"
"male","group D","some high school","free/reduced","completed","81","79","74"
"female","group C","high school","standard","none","64","80","77"
"male","group B","high school","standard","completed","83","80","78"
"male","group B","associate's degree","standard","none","60","62","56"
"female","group D","some high school","free/reduced","completed","58","70","67"
"male","group A","high school","standard","none","75","77","71"
"female","group B","bachelor's degree","standard","completed","84","86","86"
"female","group C","associate's degree","standard","completed","91","100","100"
"male","group D","high school","standard","completed","47","48","47"
"male","group C","some high school","standard","none","69","66","66"
"female","group D","some college","standard","completed","82","83","91"
"female","group D","some high school","standard","completed","84","97","99"
"female","group C","master's degree","standard","none","83","90","93"
"male","group C","associate's degree","standard","completed","66","64","64"
"male","group C","master's degree","standard","none","70","70","70"
"male","group C","high school","free/reduced","none","72","61","61"
"female","group A","bachelor's degree","standard","none","53","54","60"
"female","group A","associate's degree","standard","none","66","74","70"
"female","group E","high school","standard","completed","89","90","91"
"male","group C","high school","free/reduced","completed","62","59","58"
"male","group D","bachelor's degree","standard","none","89","81","72"
"male","group C","some high school","standard","none","73","71","64"
"female","group B","associate's degree","standard","completed","78","97","87"
"male","group C","high school","standard","none","68","68","65"
"female","group C","some college","standard","none","66","58","69"
"female","group D","some college","standard","none","39","52","47"
"male","group C","some high school","free/reduced","completed","73","84","78"
"male","group B","some high school","standard","completed","79","75","77"
"female","group D","bachelor's degree","standard","completed","67","74","75"
"male","group B","associate's degree","free/reduced","none","52","38","38"
"female","group C","some high school","free/reduced","none","22","43","44"
"male","group D","some high school","free/reduced","none","59","60","52"
"male","group A","bachelor's degree","free/reduced","none","64","61","57"
"male","group A","associate's degree","free/reduced","completed","73","74","77"
"female","group B","associate's degree","standard","completed","71","91","89"
"male","group B","some high school","standard","completed","87","81","86"
"male","group C","some high school","free/reduced","completed","71","78","74"
"male","group E","associate's degree","standard","none","81","74","66"
"female","group D","some high school","free/reduced","none","60","75","70"
"female","group D","associate's degree","free/reduced","none","55","73","72"
"male","group B","some college","standard","none","43","37","31"
"male","group D","associate's degree","standard","completed","94","85","87"
"male","group C","high school","standard","none","55","59","53"
"female","group D","bachelor's degree","standard","none","86","93","93"
"female","group D","associate's degree","free/reduced","none","56","67","70"
"male","group D","some college","standard","completed","88","90","85"
"female","group E","associate's degree","standard","none","92","95","90"
"female","group C","some college","standard","completed","64","82","77"
"male","group E","some high school","standard","none","68","68","60"
"female","group C","associate's degree","free/reduced","completed","52","72","67"
"female","group D","some college","free/reduced","completed","82","98","96"
"female","group D","high school","standard","none","85","96","95"
"male","group C","associate's degree","standard","none","94","84","79"
"female","group A","high school","standard","none","54","65","62"
"male","group B","bachelor's degree","free/reduced","none","28","32","30"
"female","group C","some high school","free/reduced","completed","36","56","59"
"male","group D","bachelor's degree","standard","none","78","80","80"
"male","group B","bachelor's degree","standard","completed","80","77","79"
"female","group E","some high school","standard","none","75","79","79"
"female","group D","some college","free/reduced","none","74","92","88"
"female","group D","high school","standard","none","67","79","75"
"male","group B","master's degree","standard","completed","92","86","90"
"male","group D","master's degree","standard","none","73","77","75"
"male","group C","some high school","free/reduced","none","53","58","47"
"male","group D","high school","standard","none","46","39","41"
"female","group D","high school","free/reduced","none","54","54","51"
"female","group C","some high school","standard","none","72","84","79"
"male","group C","high school","free/reduced","none","63","63","62"
"male","group E","some college","standard","completed","90","91","94"
"male","group C","associate's degree","free/reduced","completed","83","77","81"
"female","group D","bachelor's degree","standard","completed","85","100","100"
"male","group E","associate's degree","free/reduced","completed","41","40","46"
"female","group E","some high school","standard","none","92","91","91"
"female","group B","associate's degree","standard","completed","66","88","80"
"male","group D","some high school","free/reduced","completed","69","76","77"
"female","group B","bachelor's degree","free/reduced","none","41","61","57"
"male","group A","bachelor's degree","standard","completed","61","65","60"
"female","group E","high school","free/reduced","none","38","51","47"
"female","group D","some high school","standard","completed","72","75","81"
"male","group B","some college","free/reduced","completed","81","73","75"
"male","group C","some college","free/reduced","none","60","55","54"
"male","group E","master's degree","standard","completed","89","83","79"
"female","group D","some college","standard","none","74","77","75"
"male","group D","high school","standard","completed","84","86","80"
"male","group B","some high school","standard","none","61","55","49"
"female","group C","high school","standard","completed","63","71","75"
"male","group B","high school","standard","none","54","58","55"
"male","group D","bachelor's degree","free/reduced","none","78","78","79"
"male","group C","associate's degree","free/reduced","none","73","63","61"
"male","group E","associate's degree","free/reduced","completed","63","70","64"
"male","group D","high school","free/reduced","none","59","50","48"
"male","group C","associate's degree","standard","completed","89","91","96"
"male","group C","some college","standard","completed","52","60","57"
"female","group D","some high school","standard","none","72","66","69"
"male","group B","some high school","standard","completed","60","52","58"
"female","group C","some high school","standard","none","72","84","71"
"male","group D","high school","free/reduced","none","72","71","67"
"male","group C","high school","free/reduced","none","66","64","58"
"female","group B","some high school","standard","none","43","47","44"
"male","group D","some high school","standard","completed","56","50","57"
"male","group C","associate's degree","standard","none","94","94","87"
"female","group B","some college","free/reduced","completed","70","85","87"
"male","group B","some high school","standard","none","71","65","60"
"female","group C","associate's degree","standard","none","36","48","48"
"male","group C","some college","standard","none","65","58","52"
"male","group C","master's degree","standard","none","100","89","94"
"female","group E","master's degree","free/reduced","completed","75","77","84"
"male","group B","some high school","standard","completed","91","85","83"
"male","group B","high school","standard","none","56","50","45"
"male","group C","some college","standard","completed","84","79","78"
"female","group D","some high school","standard","none","69","85","78"
"male","group C","bachelor's degree","standard","none","71","67","66"
"female","group A","high school","free/reduced","none","24","38","33"
"female","group E","master's degree","standard","none","89","93","88"
"male","group D","bachelor's degree","free/reduced","none","60","57","55"
"female","group E","master's degree","standard","completed","89","93","92"
"male","group C","some college","free/reduced","none","42","51","47"
"female","group C","high school","free/reduced","none","56","69","67"
"male","group C","some college","standard","none","75","72","73"
"male","group E","bachelor's degree","free/reduced","none","61","63","60"
"male","group D","some high school","standard","completed","62","60","56"
"male","group B","associate's degree","standard","none","70","64","58"
"female","group E","bachelor's degree","standard","completed","100","100","100"
"male","group A","some college","free/reduced","completed","85","78","80"
"male","group E","high school","standard","none","87","77","74"
"female","group A","master's degree","standard","none","59","69","66"
"male","group C","bachelor's degree","free/reduced","completed","74","80","81"
"male","group C","master's degree","free/reduced","none","40","47","51"
"male","group B","high school","standard","completed","62","71","68"
"male","group B","high school","free/reduced","none","75","80","67"
"male","group D","some college","standard","none","67","55","54"
"male","group B","some high school","free/reduced","none","50","42","34"
"male","group C","some high school","standard","none","56","49","48"
"male","group D","some college","standard","none","57","53","43"
"female","group C","high school","standard","none","58","67","67"
"female","group D","bachelor's degree","standard","none","98","100","100"
"female","group D","some high school","standard","none","76","66","72"
"male","group C","some high school","free/reduced","completed","58","59","60"
"male","group A","high school","standard","none","40","43","39"
"female","group A","high school","standard","none","51","48","47"
"female","group E","master's degree","free/reduced","none","60","64","67"
"female","group B","some college","free/reduced","completed","70","78","78"
"female","group C","some high school","free/reduced","none","2","19","14"
"male","group D","some high school","standard","none","74","68","70"
"female","group C","associate's degree","free/reduced","none","11","21","18"
"male","group C","high school","free/reduced","completed","75","74","71"
"male","group E","some college","standard","none","97","81","81"
"male","group D","some college","standard","none","71","65","67"
"female","group D","some college","standard","none","90","100","100"
"male","group E","some high school","standard","completed","91","83","85"
"female","group C","associate's degree","free/reduced","completed","57","72","70"
"male","group A","some college","standard","completed","73","73","71"
"male","group E","high school","standard","none","65","66","67"
"female","group D","some college","standard","none","51","47","59"
"female","group B","bachelor's degree","standard","completed","71","84","79"
"male","group E","high school","standard","none","80","75","72"
"female","group B","associate's degree","standard","none","59","68","70"
"male","group B","associate's degree","standard","completed","100","85","90"
"male","group B","bachelor's degree","free/reduced","completed","70","73","65"
"male","group E","some high school","free/reduced","none","69","60","57"
"male","group C","some college","free/reduced","none","63","70","67"
"female","group C","some high school","standard","completed","53","62","69"
"male","group C","some high school","standard","completed","70","71","67"
"female","group B","some college","standard","completed","73","93","92"
"male","group B","some college","free/reduced","none","42","48","45"
"female","group C","high school","standard","none","54","58","60"
"female","group D","associate's degree","standard","completed","64","59","67"
"female","group C","high school","free/reduced","completed","51","59","67"
"female","group E","associate's degree","standard","completed","74","86","84"
"male","group C","high school","standard","none","66","71","63"
"male","group A","some high school","standard","none","82","70","60"
"female","group C","associate's degree","standard","none","25","31","30"
"male","group B","associate's degree","free/reduced","none","58","56","50"
"male","group B","associate's degree","free/reduced","none","58","54","45"
"male","group B","associate's degree","standard","none","59","57","57"
"female","group D","some college","standard","completed","87","96","100"
"female","group B","high school","free/reduced","none","44","54","49"
"male","group D","master's degree","standard","none","94","93","91"
"male","group E","some high school","free/reduced","none","67","61","57"
"female","group C","some college","free/reduced","none","62","73","70"
"male","group E","high school","standard","completed","81","76","71"
"female","group D","some high school","standard","none","85","87","87"
"female","group D","high school","standard","completed","83","97","98"
"female","group C","some high school","standard","none","66","75","71"
"female","group C","associate's degree","standard","none","88","88","85"
"male","group C","high school","free/reduced","none","46","35","38"
"female","group E","high school","standard","none","90","93","92"
"female","group C","bachelor's degree","standard","completed","73","83","89"
"female","group B","some high school","standard","completed","66","72","69"
"male","group C","associate's degree","standard","none","73","69","64"
"female","group D","high school","free/reduced","none","33","53","48"
"female","group E","high school","free/reduced","none","74","82","82"
"male","group E","bachelor's degree","standard","completed","86","71","75"
"female","group B","associate's degree","free/reduced","completed","86","89","86"
"male","group A","associate's degree","standard","none","72","64","57"
"male","group B","high school","standard","none","90","81","75"
"male","group C","associate's degree","standard","completed","96","91","85"
"male","group C","bachelor's degree","standard","completed","63","62","66"
"female","group C","some college","free/reduced","completed","42","67","70"
"male","group C","some high school","standard","none","56","61","51"
"female","group D","some high school","free/reduced","none","59","76","75"
"female","group C","some college","free/reduced","none","66","72","77"
"male","group E","some college","free/reduced","none","63","65","64"
"male","group D","some high school","free/reduced","none","46","48","45"
"male","group A","high school","standard","none","52","51","47"
"male","group D","master's degree","free/reduced","none","40","39","39"
"female","group C","some high school","standard","none","42","52","55"
"male","group B","some high school","free/reduced","none","49","46","49"
"female","group B","some college","standard","none","68","84","76"
"female","group D","some college","standard","completed","68","86","86"
"female","group D","associate's degree","standard","none","54","70","67"
"female","group D","bachelor's degree","standard","none","65","78","77"
"male","group D","associate's degree","standard","completed","99","91","94"
"female","group B","some college","free/reduced","completed","52","68","68"
"male","group D","some college","standard","completed","88","76","79"
"male","group B","some high school","free/reduced","none","39","41","32"
"female","group E","bachelor's degree","standard","none","66","68","67"
"female","group D","bachelor's degree","standard","completed","72","80","86"
"male","group B","some high school","standard","none","53","46","45"
"female","group A","bachelor's degree","standard","completed","84","95","95"
"female","group D","associate's degree","free/reduced","none","52","65","67"
"female","group B","some high school","free/reduced","none","71","82","75"
"female","group A","some college","standard","none","80","85","83"
"female","group C","bachelor's degree","free/reduced","none","30","51","46"
"female","group B","some high school","standard","completed","51","57","63"
"male","group E","some high school","free/reduced","none","72","73","66"
"male","group C","some college","free/reduced","none","77","73","68"
"female","group A","some college","standard","none","64","75","70"
"male","group C","associate's degree","standard","completed","100","100","98"
"male","group B","some college","free/reduced","none","75","70","74"
"male","group C","high school","free/reduced","none","29","31","21"
"female","group A","high school","standard","completed","43","63","63"
"female","group D","high school","standard","completed","79","82","82"
"female","group E","some college","standard","completed","69","73","73"
"male","group C","high school","standard","none","70","65","60"
"male","group D","associate's degree","standard","completed","92","87","89"
"male","group C","high school","standard","completed","57","70","66"
"female","group A","associate's degree","free/reduced","none","53","67","67"
"male","group B","bachelor's degree","standard","completed","90","87","82"
"female","group A","bachelor's degree","standard","none","51","60","59"
"male","group B","high school","standard","completed","58","60","60"
"female","group E","some high school","standard","none","58","66","64"
"female","group C","bachelor's degree","standard","none","76","81","85"
"female","group B","some high school","free/reduced","completed","39","52","45"
"male","group B","some college","standard","completed","60","68","69"
"female","group D","bachelor's degree","standard","completed","90","97","99"
"female","group C","bachelor's degree","standard","none","49","50","49"
"male","group B","some college","standard","none","53","37","48"
"male","group C","associate's degree","standard","none","55","63","59"
"male","group C","some college","standard","none","84","91","84"
"female","group E","some high school","standard","completed","88","74","81"
"female","group D","high school","standard","none","77","84","79"
"female","group B","some high school","standard","none","60","67","65"
"female","group D","associate's degree","free/reduced","none","51","71","68"
"male","group C","associate's degree","free/reduced","none","72","78","69"
"female","group D","high school","standard","none","78","94","94"
"male","group C","some high school","standard","none","50","46","45"
"male","group D","some high school","standard","none","77","78","74"
"male","group D","associate's degree","standard","none","51","51","52"
"male","group C","some high school","standard","none","62","59","59"
"male","group B","bachelor's degree","free/reduced","none","56","53","55"
"female","group C","bachelor's degree","free/reduced","none","36","42","50"
"male","group B","some college","standard","none","88","78","78"
"female","group D","some college","standard","none","69","75","78"
"male","group B","some high school","free/reduced","none","40","41","40"
"male","group B","some college","standard","none","91","82","79"
"male","group C","some high school","free/reduced","completed","68","68","66"
"female","group D","some high school","standard","none","55","67","65"
"male","group C","some college","free/reduced","none","51","50","47"
"male","group D","high school","free/reduced","completed","61","57","63"
"female","group A","some college","free/reduced","completed","66","91","87"
"male","group E","associate's degree","standard","none","87","82","81"
"female","group D","associate's degree","standard","completed","74","80","83"
"male","group B","some high school","free/reduced","none","65","70","62"
"female","group A","associate's degree","standard","completed","66","77","82"
"male","group D","some college","standard","completed","59","53","59"
"female","group E","bachelor's degree","standard","none","64","72","65"
"female","group D","some college","free/reduced","completed","69","85","89"
"female","group B","associate's degree","free/reduced","none","67","80","76"
"male","group D","some high school","standard","completed","82","77","78"
"male","group C","associate's degree","free/reduced","completed","76","70","72"
"female","group B","some college","standard","none","48","52","55"
"female","group C","some high school","free/reduced","none","29","39","37"
"male","group D","associate's degree","standard","completed","74","72","74"
"male","group C","some college","standard","none","58","53","52"
"female","group D","high school","free/reduced","none","54","66","67"
"male","group B","master's degree","free/reduced","none","50","45","49"
"male","group B","master's degree","free/reduced","completed","58","60","61"
"male","group C","some high school","standard","none","80","77","69"
"female","group A","some high school","standard","completed","56","59","60"
"female","group C","some high school","free/reduced","none","29","35","40"
"female","group C","some college","free/reduced","none","62","70","68"
"male","group C","some high school","standard","none","52","44","45"
"male","group C","high school","free/reduced","completed","44","45","44"
"female","group B","master's degree","free/reduced","none","66","64","66"
"female","group B","associate's degree","free/reduced","none","41","48","48"
"male","group D","high school","free/reduced","completed","47","63","61"
"female","group D","some college","free/reduced","none","48","48","52"
"male","group D","some college","standard","none","79","65","67"
"male","group C","high school","free/reduced","none","56","52","44"
"male","group B","some college","standard","none","63","58","57"
"female","group B","some high school","standard","none","56","67","62"
"male","group C","some college","standard","completed","74","71","71"
"male","group B","some college","standard","none","51","44","49"
"male","group A","master's degree","standard","completed","92","96","93"
"female","group D","master's degree","free/reduced","completed","59","71","72"
"male","group E","some high school","free/reduced","none","73","69","62"
"male","group D","associate's degree","free/reduced","completed","72","73","72"
"male","group D","some high school","free/reduced","completed","79","78","77"
"male","group D","master's degree","free/reduced","none","75","64","70"
"male","group C","associate's degree","free/reduced","completed","53","55","55"
"female","group D","master's degree","standard","none","79","74","81"
"male","group C","high school","standard","none","54","52","41"
"male","group A","some high school","standard","none","71","61","61"
"male","group C","high school","free/reduced","none","33","44","28"
"female","group D","some college","standard","completed","82","83","87"
"male","group D","associate's degree","standard","none","84","81","82"
"male","group E","associate's degree","free/reduced","completed","74","81","76"
"female","group D","some high school","standard","none","62","70","73"
"female","group E","some college","standard","completed","72","70","71"
"male","group E","high school","standard","none","78","70","70"
"male","group C","high school","standard","none","85","84","77"
"male","group C","associate's degree","standard","none","57","54","51"
"male","group D","some college","standard","none","69","58","62"
"female","group D","some high school","standard","completed","62","79","80"
"male","group B","master's degree","free/reduced","none","67","70","64"
"male","group A","bachelor's degree","free/reduced","none","44","25","31"
"female","group D","high school","standard","none","52","61","60"
"male","group B","some college","standard","completed","67","68","64"
"female","group C","some high school","free/reduced","none","56","66","69"
"male","group A","bachelor's degree","standard","none","73","66","63"
"female","group E","high school","standard","none","85","86","80"
"male","group E","high school","standard","completed","82","72","74"
"male","group A","bachelor's degree","standard","completed","98","100","97"
"male","group C","associate's degree","free/reduced","completed","39","38","40"
"male","group D","associate's degree","standard","none","49","45","52"
"female","group C","high school","standard","completed","71","83","89"
"male","group E","some college","free/reduced","none","86","73","73"
"female","group B","high school","standard","completed","59","75","77"
"male","group B","associate's degree","standard","none","84","79","78"
"male","group E","associate's degree","standard","none","84","72","68"
"female","group B","bachelor's degree","free/reduced","completed","44","54","54"
"female","group C","some high school","standard","none","60","73","70"
"female","group A","some college","standard","none","48","50","53"
"female","group C","associate's degree","standard","none","56","63","58"
"male","group D","high school","standard","completed","83","73","69"
"male","group C","some high school","standard","none","47","49","47"
"male","group D","some high school","free/reduced","none","56","45","49"
"male","group D","some college","free/reduced","completed","65","67","69"
"female","group C","master's degree","standard","completed","74","91","89"
"female","group B","some college","free/reduced","completed","53","64","62"
"female","group C","associate's degree","free/reduced","none","71","83","86"
"female","group D","some college","standard","completed","71","79","77"
"male","group D","some high school","standard","none","66","63","63"
"female","group D","some college","free/reduced","none","46","62","58"
"male","group E","high school","free/reduced","completed","85","74","75"
"female","group B","some high school","standard","none","53","70","72"
"male","group C","some high school","free/reduced","none","65","61","53"
"female","group C","some college","standard","none","59","63","61"
"male","group B","some high school","standard","none","88","79","76"
"female","group D","some college","standard","completed","55","70","72"
"male","group C","high school","standard","none","75","59","57"
"female","group C","some high school","standard","none","64","69","69"
"male","group D","some high school","standard","none","53","51","48"
"female","group D","master's degree","standard","completed","85","98","100"
"male","group E","some high school","standard","none","90","79","71"
"female","group D","bachelor's degree","standard","none","47","65","61"
"female","group B","bachelor's degree","standard","completed","56","66","71"
"male","group D","bachelor's degree","standard","completed","84","77","88"
"female","group B","master's degree","free/reduced","completed","47","64","61"
"female","group B","some high school","free/reduced","none","57","75","66"
"female","group D","high school","free/reduced","none","29","41","35"
"female","group D","some high school","standard","completed","80","86","92"
"female","group E","some college","standard","none","76","80","77"
"male","group D","some college","standard","none","59","68","64"
"female","group D","bachelor's degree","standard","completed","75","86","97"
